LECROYWS44Xs,11541,Waveform
Segments,1,SegmentSize,100001
Segment,TrigTime,TimeSinceSegment1
#1,16-Apr-2016 11:14:11,0                 
Time,Ampl
-0.00224,0.0422916
-0.00223995,0.0444
-0.0022399,0.0456402
-0.00223985,0.044028
-0.0022398,0.0364626
-0.00223975,0.0444
-0.0022397,0.0525855
-0.00223965,0.0558101
-0.0022396,0.0595308
-0.00223955,0.05519
-0.0022395,0.0494849
-0.00223945,0.0451442
-0.0022394,0.038943
-0.00223935,0.0357184
-0.0022393,0.0338581
-0.00223925,0.0355944
-0.0022392,0.0362145
-0.00223915,0.0367106
-0.0022391,0.0408034
-0.00223905,0.0417955
-0.002239,0.0457643
-0.00223895,0.0482447
-0.0022389,0.0489889
-0.00223885,0.049857
-0.0022388,0.0493609
-0.00223875,0.0475006
-0.0022387,0.0435319
-0.00223865,0.0408034
-0.0022386,0.0290212
-0.00223855,0.0182313
-0.0022385,0.00781338
-0.00223845,0.00124019
-0.0022384,-0.00669725
-0.00223835,-0.00595312
-0.0022383,-0.00297658
-0.00223825,-0.00372071
-0.0022382,0.00148823
-0
